Au8,Au8_CN,Au,Ag,Al,As,B,Ba,Ca,Ce,Co,Cr,Cu,Fe,Hg,K,La,Mg,Mn,Mo,Ni,P,Pb,S,Sb,Sr,Th,Ti,V,Y,Zn
0.29,15.26,1.9,5.4,3000,1021,10,169,2500,66,26,8,679,59100,12,2800,37,400,2278,2,11,1040,1581,36700,702,11,24,12,7,8,95
0.06,3.75,1.6,0.8,3600,1731,16,126,2200,56,22,10,7,47100,2,3200,31,200,758,2,10,1050,96,36300,89,10,26,12,5,6,60
0.07,1.87,3.75,0.8,3100,2183,5,112,2100,85,13,13,16,36600,9,3100,48,200,305,2,10,1150,107,27400,341,9,25,21,10,5,60
0.01,1.19,0.84,1.3,4100,22991,25,80,2100,84,22,10,117,33600,10,3400,48,200,79,3,15,1000,106,38800,628,12,24,13,6,5,144
0.04,2.56,1.56,7.8,4000,2425,17,104,3200,80,24,10,682,76300,23,3400,47,700,5477,3,9,1050,268,26800,312,10,23,15,34,14,111
0.04,7.27,0.55,4.0,4100,989,19,214,2700,91,18,11,546,48400,7,3400,52,400,2074,2,9,1200,184,25100,175,14,26,14,10,8,86
0.05,4.76,1.05,1.1,2900,3796,17,211,2600,106,15,7,14,38800,2,2600,61,800,873,3,11,1250,229,26800,140,16,28,12,9,6,74
0.14,16.28,0.86,1.1,4700,1133,5,466,6000,98,17,6,4,27400,2,2900,57,1800,172,2,13,1290,581,22200,738,36,21,16,10,13,433
0.08,3.51,2.28,2.7,3600,5623,11,316,2700,68,22,5,24,37900,9,3300,38,400,1241,5,12,1110,1577,32700,2174,14,17,12,6,8,943
0.11,9.17,1.2,3.3,5000,1872,12,182,2400,52,81,4,40,46400,7,4200,27,400,357,4,39,1260,1514,41400,529,7,20,17,5,7,105
0.09,5.96,1.51,1.5,3600,4709,10,273,1700,40,53,3,16,38900,2,3400,22,300,78,5,33,900,468,27700,839,15,19,18,7,6,127
0.46,68.66,0.67,1.2,3600,4305,13,229,1300,56,7,7,12,23300,19,3000,32,200,101,3,4,880,724,5600,1083,51,19,29,10,4,56
0.05,9.8,0.51,1.3,4300,390,9,342,500,72,44,6,6,40100,1,3000,42,200,51,2,26,1200,552,35200,286,60,18,16,3,6,60
0.01,2.0,0.5,2.3,4900,1919,10,273,500,85,16,7,4,18100,1,3500,48,200,44,4,11,780,2659,15400,607,23,20,17,4,6,636
0.96,6.46,14.87,1.9,3500,2905,5,201,2500,77,31,12,190,53900,4,3400,47,3400,1868,2,12,970,364,25900,1086,23,18,11,16,5,126
0.74,62.71,1.18,5.0,7200,2087,13,195,2200,99,15,10,766,37200,3,3900,61,1500,1150,3,10,1120,596,17700,441,105,19,12,18,10,90
0.09,4.11,2.19,0.8,3400,628,16,234,7700,88,12,7,5,40200,2,3100,52,2500,1640,5,12,1080,222,25500,4434,29,20,12,14,5,191
0.01,0.53,1.89,0.8,2700,530,11,270,4000,43,17,9,4,47100,1,2600,24,800,2166,6,11,1130,660,27400,254,17,23,15,13,7,221
0.49,4.68,10.48,2.7,2100,15848,5,155,3100,86,16,7,480,46600,63,2300,50,600,133,3,11,930,54,50600,11192,15,18,11,11,4,101
0.04,0.51,7.92,1.0,3600,5533,9,252,2600,103,6,8,14,39600,3,3700,59,1300,1482,7,10,1130,111,18100,1016,19,21,13,16,6,160
0.01,0.85,1.17,0.7,2700,17147,24,228,2000,62,9,17,6,31000,3,2400,34,200,91,4,9,920,201,27800,113,15,17,10,9,4,45
0.06,3.13,1.92,1.0,4200,803,15,215,3500,89,7,7,8,20600,6,3500,51,600,107,3,9,1180,71,14500,488,14,20,10,11,5,75
0.32,10.13,3.16,1.4,3000,1134,13,61,2400,95,6,5,10,24800,6,2700,55,200,82,4,8,1250,94,20200,246,12,22,10,10,5,136
0.02,3.39,0.59,0.9,3100,1561,10,31,2700,100,12,10,10,35800,1,3000,57,200,125,4,9,1250,534,29300,288,15,23,14,17,5,110
0.07,5.6,1.25,1.2,3200,1455,13,38,3900,99,10,7,3,26300,3,2800,56,800,95,4,8,1390,479,20900,122,16,21,11,16,6,47
0.28,6.86,4.08,1.1,2900,4084,18,63,4300,104,12,9,4,44400,17,2700,61,900,2044,3,17,1450,580,26600,193,18,21,12,14,7,67
0.07,12.07,0.58,0.7,2700,1605,14,68,2700,96,16,10,4,35800,5,2600,55,200,273,4,15,1300,475,27900,146,13,21,17,14,5,39
0.15,2.16,6.96,1.6,2700,8650,21,12,2600,101,15,10,9,36400,7,2400,58,200,40,4,25,1330,337,35300,310,11,19,12,12,4,79
0.92,10.27,8.96,0.9,3800,2526,14,185,13600,102,6,9,10,30800,4,3800,58,5800,736,2,7,1260,107,13300,3474,38,21,12,22,10,69
2.42,34.97,6.92,0.7,3300,4499,10,53,4500,100,8,7,10,26900,7,3500,57,1100,216,3,8,1220,230,20200,2225,20,21,13,14,8,59
0.05,5.95,0.84,0.8,3600,2957,11,142,2300,105,8,6,9,23600,7,3800,59,500,144,5,7,1200,197,15500,57,15,21,13,9,7,83
0.08,3.01,2.66,0.8,3300,12105,12,49,2400,100,9,8,12,23300,6,3300,55,200,434,4,10,1170,183,19400,347,12,20,10,11,7,76
0.11,1.6,6.88,0.7,3600,3449,9,160,5800,108,8,8,6,24400,6,3600,62,1500,1155,5,6,1170,441,10600,106,23,22,13,12,9,51
0.13,3.13,4.16,0.8,3300,30663,9,54,4100,88,7,6,19,20900,21,3400,50,900,555,3,5,1120,236,22300,1486,18,19,11,11,7,56
0.05,1.07,4.68,0.6,3600,1032,14,75,2400,108,7,7,7,13600,6,3500,60,200,52,5,6,1270,214,9500,2245,16,23,11,12,8,71
0.12,6.82,1.76,1.2,3400,1406,13,26,2300,94,8,10,15,21800,6,3300,52,200,77,7,8,1140,545,15700,1552,13,20,11,11,6,113
0.04,1.11,3.6,3.0,4200,8026,12,275,2400,95,5,6,309,28600,144,4300,53,300,656,3,5,1110,137,18000,177,15,19,18,12,7,80
0.12,5.36,2.24,1.3,3200,2031,10,275,2700,92,7,4,2,45200,1,3900,53,3400,1298,2,6,1060,61,12000,18,15,20,11,14,7,76
0.15,4.41,3.4,1.0,3000,2538,8,49,6700,85,6,6,6,24000,6,3400,48,1900,366,3,6,1040,60,19100,8802,17,18,13,11,7,61
2.78,8.02,34.65,0.6,3800,2477,13,41,2400,103,9,6,10,22200,11,4200,59,200,487,2,8,1130,36,14400,7351,14,19,14,8,7,76
4.9,17.76,27.59,0.7,3700,4488,15,28,2200,87,9,5,8,26200,6,4200,50,200,235,5,10,1140,23,18600,2513,12,20,14,9,6,88
0.67,22.26,3.01,0.9,3300,2972,15,24,2500,90,9,4,11,24700,3,3800,52,200,928,5,8,1140,29,12700,267,13,20,12,9,9,137
4.16,27.59,15.08,1.7,3300,4507,14,23,2300,71,9,7,61,37100,12,3400,41,200,1629,7,11,940,57,19000,1155,10,18,11,14,9,205
2.09,35.79,5.84,2.2,3500,2881,15,36,2400,82,8,5,29,29600,6,3900,46,300,632,5,8,1060,58,18300,900,13,19,13,10,8,188
0.36,15.19,2.37,4.8,7700,997,12,390,300,116,14,9,339,15600,73,4500,66,200,34,4,9,2000,2653,11100,399,28,24,12,17,7,68
0.47,24.35,1.93,2.4,6400,2277,11,364,400,111,10,8,437,16700,91,4200,65,200,34,4,10,1580,1015,11500,616,19,24,10,13,6,72
7.81,100.0,4.61,2.2,4600,651,8,251,300,117,11,9,16,23700,5,3600,66,200,41,3,10,940,1413,16200,291,23,23,12,11,7,38
0.18,32.73,0.55,0.7,4300,332,10,348,2500,112,23,9,3,20400,1,3600,64,200,42,5,22,1140,120,14700,43,17,22,10,8,6,56
0.13,8.33,1.56,0.9,4000,272,8,507,2600,92,8,9,4,26600,2,3500,53,300,1338,1,10,1280,883,11300,239,20,21,12,9,8,88
0.98,26.56,3.69,2.8,3600,1276,13,315,200,121,5,4,289,23000,14,2700,69,100,32,5,5,1050,3551,14800,1329,49,25,18,8,6,72
0.29,8.22,3.53,1.3,3300,3673,19,283,100,77,12,6,152,23800,3,3000,42,100,50,7,8,500,1365,18000,773,21,21,27,6,4,178
0.24,10.43,2.3,2.3,3800,1501,29,527,200,119,10,12,292,24800,3,3500,69,200,45,4,10,520,2234,18800,376,30,22,16,4,4,29
0.11,15.94,0.69,4.8,5100,3753,11,321,200,101,28,4,117,22800,3,3800,57,200,30,2,14,1130,4186,18400,304,47,26,16,7,10,72
0.21,5.04,4.17,2.5,4000,2888,7,406,200,72,6,5,5,17000,2,3600,43,200,30,3,8,110,2456,13100,472,31,22,19,11,11,119
1.19,12.22,9.74,0.7,4700,2534,7,286,600,74,18,8,9,20800,10,3700,43,200,31,3,15,380,106,15700,53,35,25,23,14,10,177
0.05,3.13,1.6,3.2,3600,2801,11,433,2100,86,17,6,104,20800,2,3400,51,200,49,3,8,1240,3903,15900,213,44,23,21,9,8,168
4.16,86.49,4.81,2.5,6400,1148,22,386,400,109,5,20,113,21100,7,3800,63,200,11,2,9,1160,1179,5100,3395,232,18,27,25,7,17
1.38,31.87,4.33,1.8,3500,918,10,334,100,90,6,9,55,18300,4,3400,50,100,31,2,8,890,1929,11200,390,75,22,17,9,6,44
8.66,91.16,9.5,6.1,4700,3278,6,488,200,102,9,6,108,19700,37,3700,58,200,23,4,8,1160,4015,13200,1481,89,24,21,15,8,38
0.65,54.17,1.2,3.4,3300,1535,6,358,800,72,6,7,301,23800,78,3300,42,100,25,1,6,660,1816,14200,8949,100,18,18,9,6,32
0.7,37.23,1.88,1.7,6000,1595,18,608,300,106,47,4,66,15700,8,4500,58,200,18,3,22,1570,1946,12200,195,69,25,18,8,13,56
0.11,11.11,0.99,0.7,3300,1206,12,394,2100,124,38,5,69,26400,6,3300,70,200,26,4,25,1300,253,22400,323,21,25,25,9,9,190
0.47,9.85,4.77,1.7,3500,2633,12,382,1100,106,57,6,25,29800,8,3300,60,200,25,3,24,980,2154,24900,774,31,26,20,10,8,264
0.4,25.32,1.58,0.5,4700,1515,16,292,1200,135,32,5,21,19300,5,3900,77,300,26,3,19,940,1180,15300,397,24,28,22,9,11,198
0.84,13.13,6.4,2.8,3200,2149,18,457,2100,127,10,10,66,35800,3,2900,73,200,548,2,12,1500,2159,25500,149,20,26,26,13,9,319
0.6,21.9,2.74,3.8,4600,2443,12,503,2300,97,9,7,335,37300,94,3600,55,300,1818,3,13,1350,1311,11500,351,32,24,22,12,11,167
1.71,56.07,3.05,4.3,5900,2641,13,566,300,118,8,8,302,18600,56,4300,69,200,51,3,10,1850,2660,11600,297,27,26,22,11,8,35
0.45,62.5,0.72,1.9,5300,4491,16,672,300,158,2,6,86,19200,5,4600,93,200,32,3,4,2460,1979,7700,186,73,25,18,9,8,19
2.72,44.3,6.14,3.7,4900,1489,10,487,200,101,5,11,463,20600,41,4100,57,200,55,4,7,1040,3141,12300,714,145,23,35,16,7,26
1.14,12.58,9.06,0.5,6900,3915,5,171,400,119,9,2,23,28500,6,3600,68,200,11,2,18,1400,42,25400,30,70,26,16,10,9,236
0.15,1.35,11.11,0.7,6100,8303,12,290,200,108,22,9,6,34700,54,4100,62,200,42,3,29,830,30,32500,4838,90,23,20,14,10,245
0.19,1.0,19.01,0.9,6100,6671,13,463,500,118,13,8,4,27400,20,4300,66,200,34,2,15,1070,17,22500,138,66,23,13,13,14,144
0.05,0.61,8.18,0.8,7000,25307,10,166,300,85,12,4,7,22400,29,4100,49,200,15,2,17,1230,40,29500,913,85,21,13,12,10,141
0.23,3.5,6.58,2.8,5300,11688,6,104,200,114,11,7,49,24700,48,3400,65,100,36,4,12,820,1442,24600,4106,78,22,11,5,7,166
0.13,3.45,3.77,1.1,6500,5745,17,78,400,91,9,5,121,23200,290,4300,47,200,26,4,9,1070,619,19700,139,41,21,11,5,9,153
0.31,5.65,5.49,2.0,4200,6498,6,27,1500,87,6,7,424,55400,35,3200,48,200,49,4,10,980,53,52900,1143,20,23,18,17,7,124
0.11,7.38,1.49,2.1,4200,2937,8,33,1700,89,6,6,189,39700,7,3400,50,200,37,4,8,1060,1016,35600,183,15,26,12,8,6,140
0.05,1.02,4.89,0.8,5100,8521,15,238,1600,127,7,4,367,35200,70,3700,75,200,18,4,9,1330,138,34100,253,39,25,12,7,7,164
0.09,8.49,1.06,1.5,5500,3178,9,397,2400,117,8,4,53,30000,6,3900,66,300,371,3,10,1330,835,23700,77,29,27,14,9,8,108
0.05,1.2,4.17,1.9,5700,15476,9,269,2600,134,8,5,52,21200,20,3900,75,200,39,3,11,1340,1315,21000,870,23,28,11,8,9,106
0.11,8.53,1.29,1.2,5400,5746,14,244,2800,145,7,7,48,20900,21,3700,82,300,34,7,16,1280,479,18400,62,36,29,21,10,9,65
4.61,58.21,7.92,2.7,4100,403,9,168,2400,49,19,5,41,37000,4,3000,29,400,111,7,8,1120,165,32900,131,9,19,21,18,6,1256
0.06,10.34,0.58,1.4,8000,380,8,371,200,60,16,8,175,24200,20,3100,33,200,36,3,15,1370,374,19500,136,18,17,11,7,27,437
0.01,0.86,1.16,1.2,4200,1777,15,341,2400,110,26,5,50,25700,3,3300,61,200,31,4,21,1220,645,23000,136,25,22,13,4,8,196
0.06,5.71,1.05,13.1,4200,2296,11,360,2600,91,19,7,637,35000,21,3600,51,300,909,4,16,1210,1724,24600,355,16,21,15,6,9,180
0.27,16.07,1.68,1.9,4400,4501,14,303,2500,101,26,6,3,36800,7,3700,55,300,880,4,13,1150,598,25300,83,16,22,12,5,8,92
0.06,8.82,0.68,0.8,3400,3480,10,317,2600,107,37,10,7,32700,4,3100,60,200,519,5,28,1230,113,25300,351,19,22,12,7,8,109
0.02,1.6,1.25,0.5,4100,2499,13,410,2700,100,11,7,3,39500,2,3500,58,300,2231,5,11,1260,158,19800,42,20,22,12,7,10,111
0.02,1.23,1.62,0.5,3600,10732,13,258,2500,94,32,8,32,32000,10,3200,52,200,209,4,20,1270,139,29700,358,16,19,12,5,8,95
0.03,5.36,0.56,0.6,3500,1574,11,284,2600,81,10,6,758,38300,58,3100,45,200,696,26,9,1240,58,28900,98,17,23,12,7,8,58
0.03,1.0,3.0,0.5,3400,9466,9,135,2300,72,14,8,38,32000,151,3500,37,200,55,3,12,1200,101,30500,2924,12,21,13,7,7,145
0.05,1.75,2.86,0.9,4000,7123,9,294,2500,84,26,5,98,30600,8,3700,46,200,55,6,10,1210,94,26900,100,19,24,13,6,8,83
0.25,8.45,2.96,4.1,6500,2439,7,198,2000,107,39,9,1984,36900,50,3500,60,300,56,4,22,1540,107,32100,694,19,24,16,11,13,311
0.16,9.3,1.72,1.6,4000,929,12,376,2500,108,7,7,27,18600,14,3800,62,300,617,1,9,1180,576,10800,153,19,25,16,10,10,95
0.08,6.25,1.28,3.6,4400,5633,10,474,2500,61,21,5,84,16700,10,3800,29,700,406,6,10,1170,670,11000,92,18,25,16,8,9,104
1.82,34.73,5.24,0.9,4100,1120,6,526,2800,52,39,6,11,34600,8,3600,27,2000,1518,3,8,1160,84,11600,28,24,24,17,17,11,87
0.07,6.31,1.11,0.9,3500,21719,6,324,2200,53,28,10,31,22300,26,3400,26,200,110,5,23,1110,581,24500,1223,18,23,12,7,8,145
0.09,12.86,0.7,0.5,5300,3787,10,781,2600,123,13,5,10,15400,7,4200,69,400,32,7,9,1290,373,12400,76,27,29,22,8,10,118
0.02,1.64,1.22,0.6,4500,2773,8,214,2600,62,10,6,78,25600,1,4000,32,800,453,13,8,1210,79,13800,19,28,28,19,11,9,88
0.72,19.78,3.64,6.5,4200,5338,7,170,2100,122,19,6,76,47200,3,4500,70,200,37,8,8,1160,1342,41700,555,18,25,15,10,7,180
0.01,1.35,0.74,4.6,4200,5731,5,106,1900,122,16,5,152,30000,5,4500,68,200,26,8,8,1070,1061,27900,530,19,27,15,9,7,136
0.02,3.85,0.52,1.0,4000,1421,7,53,1700,135,20,5,64,15900,2,4500,78,200,23,17,7,980,131,13500,91,20,28,14,6,7,109
0.01,1.52,0.66,0.8,6200,5342,25,305,2000,87,11,4,9,23200,2,5500,45,300,24,10,10,1010,186,18800,33,44,26,14,9,8,93
0.09,5.0,1.8,0.8,4700,5241,13,97,700,82,6,5,28,46400,2,4500,44,300,25,8,10,350,308,42600,259,24,26,17,12,4,99
0.03,3.37,0.89,0.5,5400,4037,15,150,1200,86,4,6,109,23100,5,4800,43,300,36,7,7,670,136,18500,104,45,27,19,11,6,81
0.02,2.06,0.97,1.2,5500,7849,14,97,1300,86,9,5,158,30800,3,5000,44,300,36,9,10,670,697,27200,134,38,30,15,9,7,155
0.02,2.33,0.86,0.7,5100,2784,10,86,1200,81,6,4,56,15300,21,3700,41,400,25,6,7,570,578,12400,235,30,24,17,8,8,103
0.14,7.57,1.85,2.1,5400,1617,14,252,2600,76,16,8,59,18000,4,3600,35,400,36,13,11,1480,1208,15100,952,32,28,25,14,10,112
0.03,0.68,4.4,1.6,6000,3827,17,90,4600,88,16,9,101,23500,4,3800,37,400,31,9,17,2430,2009,20100,1042,36,32,46,20,16,196
4.27,15.45,27.63,0.7,5300,11073,11,305,100,114,11,6,7,20000,29,3000,68,200,16,3,10,960,88,19400,1781,41,21,13,12,12,231
5.02,17.83,28.16,0.6,5000,4251,9,189,400,125,52,6,12,36000,29,3200,74,200,24,3,92,1240,56,33300,1602,84,24,11,12,11,350
0.11,5.37,2.05,1.1,4500,3246,9,335,2600,95,7,6,164,23700,23,3300,57,200,30,2,19,1380,700,20000,341,42,22,11,10,9,861
0.08,8.0,1.0,0.9,3700,936,9,425,2500,136,5,4,31,10800,3,3600,83,200,45,9,11,1410,125,7300,230,38,26,10,5,12,332
0.02,2.27,0.88,1.1,6400,7650,8,280,3000,132,15,6,62,15800,7,4100,78,300,29,2,69,1520,1171,16600,1380,63,24,15,15,18,1517
0.04,2.74,1.46,1.5,6000,6858,6,199,2600,106,23,6,97,30500,10,4400,63,300,77,2,136,1370,765,28500,2532,36,21,10,12,10,3678
0.71,12.63,5.62,0.8,4200,859,13,389,3000,117,9,4,63,35200,1,3500,71,500,1583,4,4,1260,78,8500,534,25,26,17,10,10,304
13.26,46.33,28.62,1.0,4500,1336,13,343,3700,135,8,7,30,59800,2,4100,82,1100,2427,4,6,1270,59,15400,18,29,23,22,14,10,123
0.02,2.94,0.68,0.5,3400,2082,8,59,2400,122,8,4,155,34600,5,3500,74,200,320,9,6,1210,91,25900,89,16,25,16,8,7,53
0.26,8.05,3.23,0.8,4700,13896,11,187,3000,105,7,5,305,39500,5,4300,62,500,1749,37,8,1130,130,23800,11962,17,20,18,12,8,56
1.05,22.2,4.73,0.6,4200,3144,11,82,2600,94,7,8,79,58200,8,4200,54,500,1337,7,11,1080,131,34200,58,13,19,18,11,7,99
0.07,4.07,1.72,1.3,3000,1021,5,102,2300,114,5,5,119,22000,1,3100,67,100,69,3,5,1170,152,18200,80,12,26,19,12,6,61
0.03,3.57,0.84,0.6,4200,5329,7,21,2400,135,7,4,15,33600,3,4000,82,300,27,2,6,1160,158,33300,7300,12,23,14,13,6,93
0.05,8.77,0.57,1.1,4100,2233,9,144,2500,80,6,5,53,25400,2,3900,44,300,37,2,6,1250,390,21100,367,9,23,13,12,5,83
0.06,3.39,1.77,7.1,4900,7164,11,190,2700,70,8,4,395,29700,4,4200,40,300,28,2,6,1200,6693,30600,1586,9,24,11,18,5,105
0.61,16.94,3.6,3.0,3400,3046,6,57,2300,83,8,7,349,29900,2,3200,48,200,137,4,7,1160,1602,24600,314,11,23,14,8,5,3139
0.03,1.39,2.16,0.5,3600,6842,7,150,2600,102,8,4,107,39400,8,3400,62,400,975,3,5,1140,164,26200,100,15,24,11,11,6,117
0.11,11.83,0.93,0.9,4700,1171,20,632,2600,106,15,3,1420,18800,2,4100,63,300,848,33,6,1120,31,8300,290,20,23,10,5,7,85
-0.01,0.85,1.18,0.6,4200,4807,14,215,2800,84,11,4,264,45700,4,4200,49,400,1068,14,6,1280,74,31400,144,12,22,13,10,7,87
0.09,1.42,6.34,0.8,4000,4945,11,249,2700,121,7,4,116,30300,4,4300,71,300,1458,5,4,1220,226,14900,129,14,25,12,11,6,140
0.09,1.64,5.49,1.0,4600,4985,6,169,2400,112,9,5,56,29200,2,4400,69,300,66,12,7,1230,1001,24100,162,11,23,16,14,6,165
-0.01,1.3,0.77,1.1,4500,4806,8,253,2500,124,8,4,77,25600,2,4700,76,300,186,9,5,1220,1417,20100,120,13,25,16,11,7,107
0.03,2.7,1.11,10.0,3900,6315,14,150,2500,133,7,4,132,19400,7,4300,79,200,33,13,6,1170,5298,20700,3409,16,24,11,7,7,2890
0.04,1.02,3.92,1.0,4300,6985,11,68,2600,129,6,6,47,22400,12,4800,78,200,42,10,5,1270,726,17700,411,17,24,11,8,6,68
0.04,1.52,2.64,0.6,3600,5704,8,78,2500,135,6,6,66,16500,10,4100,80,200,52,8,5,1210,273,13000,287,15,25,11,7,6,65
0.21,9.05,2.32,13.4,3700,8443,5,42,2500,129,6,6,139,31000,12,4000,79,200,976,10,5,1120,11248,23700,1845,13,23,11,9,6,158
-0.01,1.35,0.74,0.6,4200,3410,8,85,2500,159,11,4,185,27900,3,4300,101,200,49,20,8,1180,200,23700,130,21,25,14,7,8,107
0.04,4.82,0.83,2.5,3900,4253,12,19,2600,128,10,6,226,26700,2,3800,72,200,162,25,6,1310,2517,22700,369,13,27,11,8,7,98
2.3,23.71,9.7,4.5,3000,2128,7,20,2400,124,7,8,376,32900,3,3200,72,200,294,9,5,1180,2863,27700,2234,11,25,12,10,7,101
0.17,9.14,1.86,2.2,3800,2039,9,20,2600,94,7,7,645,27900,7,3900,53,200,660,23,6,1220,951,20600,745,12,26,14,11,6,91
0.7,4.65,15.05,2.6,4200,6454,14,26,2600,60,16,8,568,25000,12,4400,33,300,195,17,9,1200,271,21300,433,9,26,12,36,5,132
0.04,0.39,10.22,2.2,4300,8807,10,18,2300,128,9,7,197,47900,4,4500,77,300,31,25,7,1160,555,44800,265,12,25,16,17,5,114
0.03,1.36,2.2,2.0,3800,7008,9,72,2400,109,8,8,139,35500,1,3800,65,200,44,13,7,1200,1482,28700,439,12,27,14,9,6,126
-0.01,2.0,0.5,1.9,4000,2024,8,93,2400,137,7,6,60,31200,2,4000,82,200,49,11,9,1190,1688,26300,625,16,26,14,8,7,110
0.14,2.69,5.21,0.7,4300,5573,14,283,2700,129,10,6,100,18700,5,4200,75,200,43,14,8,1280,186,13400,133,21,29,12,9,8,199
0.05,3.73,1.34,2.5,5100,1999,17,20,2800,162,8,6,362,28100,3,5000,100,300,780,11,6,1300,2300,20400,687,19,29,12,10,8,139
0.02,1.68,1.19,0.7,4400,2162,11,158,2500,132,7,6,247,21500,4,4400,79,200,30,17,6,1250,189,18000,177,17,27,11,9,6,109
0.02,0.48,4.16,1.1,4400,8557,9,122,1900,117,10,5,70,30000,3,4300,68,300,38,30,6,950,626,25700,287,13,26,16,15,6,97
0.02,1.0,2.0,2.5,5100,6665,8,27,1600,138,13,6,151,36200,3,5400,83,300,31,24,8,820,1796,31200,291,16,26,18,11,6,375
0.04,1.03,3.88,0.6,3700,6625,8,27,2200,134,9,5,181,23400,2,4000,82,200,38,20,6,1070,65,18500,81,19,27,12,10,6,109
0.03,1.06,2.84,0.6,3900,4688,8,38,2400,126,9,6,264,17700,1,4000,73,200,26,20,6,1190,169,13300,121,19,26,12,8,6,94
0.02,2.25,0.89,0.6,3800,3627,10,47,2500,141,7,5,340,16400,1,3900,85,200,38,16,6,1260,80,11700,112,22,26,12,8,7,102
0.03,1.65,1.82,4.9,3500,4462,6,46,2000,135,7,5,600,21100,3,3600,83,200,38,28,6,1010,2213,16600,513,21,25,13,10,6,118
0.02,1.59,1.26,1.4,3700,1981,10,85,2400,137,5,5,647,11400,2,3700,79,200,38,26,5,1190,107,7300,121,35,28,13,8,8,121
0.15,11.03,1.36,4.9,3200,6675,25,81,1900,148,7,5,125,16400,1,3400,86,200,40,34,7,920,4382,12000,765,29,25,16,6,7,141
0.08,10.0,0.8,3.8,4900,4628,24,76,2000,147,12,5,833,14300,4,4700,85,300,28,8,7,920,204,11400,216,42,25,15,8,7,114
0.01,1.32,0.76,2.9,4100,3145,11,52,2000,111,8,7,161,13400,2,4000,64,300,44,77,8,1020,2065,9200,356,24,27,17,6,8,98
0.59,52.21,1.13,0.9,8200,1513,16,389,1200,107,10,4,52,21400,7,3800,59,200,58,2,6,1160,448,6000,819,68,23,12,13,17,114
0.4,46.51,0.86,0.5,4100,1232,15,490,2300,128,23,6,18,18500,3,3300,72,300,57,2,12,1120,109,12500,84,34,23,10,7,9,222
0.23,35.94,0.64,0.9,3600,945,23,359,2100,36,20,10,7,46000,2,2500,21,200,101,5,10,1200,161,28600,78,18,22,14,6,8,112
2.75,59.78,4.6,0.9,3500,1182,11,222,400,74,8,7,4,24600,2,3300,41,200,48,3,7,440,342,17100,300,40,21,12,8,5,39
3.88,69.78,5.56,1.4,3500,5448,8,312,400,64,7,7,13,30000,9,3700,37,200,91,4,6,650,544,12900,2933,120,22,11,16,5,97
0.02,3.45,0.58,0.5,3900,1873,17,264,2600,143,14,8,13,35700,1,3000,83,300,1854,2,18,1160,120,18900,5259,25,22,11,10,11,444
0.04,7.41,0.54,0.9,5900,848,22,359,2700,76,28,7,28,41900,2,3700,44,500,970,3,38,1140,277,32700,267,17,17,17,9,11,704
0.28,9.49,2.95,0.8,3500,932,10,58,1900,91,21,7,27,28700,8,3100,51,200,68,4,26,990,319,23700,2127,11,20,13,8,7,338
0.11,6.32,1.74,0.8,4200,928,11,192,2300,111,13,6,26,20200,3,3700,65,200,37,5,13,1150,208,18800,3738,14,23,14,9,6,190
-0.01,0.93,1.07,0.7,3900,13774,16,275,9000,101,14,7,91,32700,13,3600,58,3600,1915,2,22,1120,261,15800,1141,36,19,14,15,8,2661
0.03,2.19,1.37,0.5,4000,729,20,287,12700,95,8,10,16,28800,1,3100,55,4600,1173,2,8,1120,48,15300,1974,32,21,14,10,8,40
0.06,1.39,4.32,0.8,4000,11745,15,93,2600,69,20,11,16,35700,43,3000,39,400,1260,4,29,1100,118,28100,4915,13,19,11,10,10,147
0.14,2.36,5.92,0.6,4500,39994,14,55,2300,68,35,6,21,42600,287,3000,38,400,1680,5,55,940,74,46600,1547,13,16,11,10,13,353
0.05,1.87,2.68,0.6,5400,10373,15,251,2500,101,16,7,96,31800,2221,4100,56,600,1089,2,22,1130,58,21900,235,26,21,16,11,11,179
0.02,1.05,1.91,0.6,4100,6481,13,270,2300,83,9,9,25,30000,23,3100,44,300,808,2,8,1080,67,20500,376,16,21,16,8,8,199
0.06,2.44,2.46,0.5,4900,10263,13,289,2500,79,14,8,51,34200,26,2900,42,600,1531,1,13,1100,55,25200,1584,29,19,29,10,9,460
0.33,14.47,2.28,1.0,4200,4430,18,204,2300,86,11,7,237,41400,28,3900,50,300,1028,2,10,1060,49,29100,114,14,21,15,6,7,124
0.06,6.32,0.95,2.4,4000,3107,16,212,2100,96,13,6,1583,42100,67,3600,57,1700,1234,10,9,890,112,24100,995,14,20,30,10,7,132
0.15,1.74,8.6,5.5,3300,47633,19,118,1600,69,16,10,379,35600,104,2800,41,200,307,3,11,790,194,50400,5037,19,16,17,11,5,196
0.1,3.7,2.7,1.0,5900,6525,23,76,2200,95,20,6,260,30500,14,5100,55,300,93,3,9,1100,45,24500,120,12,22,27,5,7,131
0.03,1.44,2.08,0.6,4500,7593,18,467,2600,82,11,9,6,27900,7,3300,47,800,442,3,10,1160,100,23700,774,18,19,18,7,8,673
0.21,2.49,8.44,1.8,4200,4624,7,234,2100,113,38,8,305,43200,27,3500,68,700,251,11,8,1080,98,37200,1036,17,23,38,13,7,104
0.28,6.25,4.48,1.5,4900,5377,10,433,2300,105,22,11,243,31600,11,4100,60,1100,516,30,12,1040,79,22100,1516,22,24,95,19,9,464
